TRACK,TREATMENT,LABEL,FUTURE,ADJUST,METHOD,CURVE
2,CC,product.HarvestedVolume.managed.CW.CC,0,R,,27
2,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,28
2,CC,product.HarvestedVolume.managed.HW.CC,0,R,,29
2,CC,product.HarvestedVolume.managed.Total.CC,0,R,,30
2,CC,product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,0,R,,31
2,CC,product.Seral.area.immature.CWHvm_DR_HW_M.CC,0,R,,32
2,CC,product.Seral.area.mature.CWHvm_DR_HW_M.CC,0,R,,33
2,CC,product.Seral.area.overmature.CWHvm_DR_HW_M.CC,0,R,,34
2,CC,product.Seral.area.regenerating.CWHvm_DR_HW_M.CC,0,R,,35
2,CC,product.Seral.area.young.CWHvm_DR_HW_M.CC,0,R,,35
2,CC,product.SpeciesProp.managed.CW,0,R,,36
2,CC,product.SpeciesProp.managed.FDC,0,R,,37
2,CC,product.SpeciesProp.managed.HW,0,R,,38
2,CC,product.Treated.managed.CC,0,R,,39
2,CC,product.Treated.managed.CWHvm_DR_HW_M.CC,0,R,,39
2,CC,product.Yield.managed.CW,0,R,,27
2,CC,product.Yield.managed.FDC,0,R,,28
2,CC,product.Yield.managed.HW,0,R,,29
2,CC,product.Yield.managed.Total,0,R,,30
4,CC,product.HarvestedVolume.managed.CW.CC,0,R,,60
4,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,61
4,CC,product.HarvestedVolume.managed.HW.CC,0,R,,62
4,CC,product.HarvestedVolume.managed.Total.CC,0,R,,63
4,CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,0,R,,64
4,CC,product.Seral.area.immature.CWHvm_FDC_HW_H.CC,0,R,,65
4,CC,product.Seral.area.mature.CWHvm_FDC_HW_H.CC,0,R,,66
4,CC,product.Seral.area.overmature.CWHvm_FDC_HW_H.CC,0,R,,67
4,CC,product.Seral.area.regenerating.CWHvm_FDC_HW_H.CC,0,R,,68
4,CC,product.Seral.area.young.CWHvm_FDC_HW_H.CC,0,R,,68
4,CC,product.SpeciesProp.managed.CW,0,R,,69
4,CC,product.SpeciesProp.managed.FDC,0,R,,70
4,CC,product.SpeciesProp.managed.HW,0,R,,71
4,CC,product.Treated.managed.CC,0,R,,72
4,CC,product.Treated.managed.CWHvm_FDC_HW_H.CC,0,R,,72
4,CC,product.Yield.managed.CW,0,R,,60
4,CC,product.Yield.managed.FDC,0,R,,61
4,CC,product.Yield.managed.HW,0,R,,62
4,CC,product.Yield.managed.Total,0,R,,63
4,PCT,product.QMDNumerator.managed.CWHvm_FDC_HW_H.PCT,0,R,,73
4,PCT,product.Treated.managed.CWHvm_FDC_HW_H.PCT,0,R,,74
4,PCT,product.Treated.managed.PCT,0,R,,74
5,CC,product.HarvestedVolume.managed.CW.CC,0,R,,80
5,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,81
5,CC,product.HarvestedVolume.managed.Total.CC,0,R,,63
5,CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,0,R,,64
5,CC,product.SpeciesProp.managed.CW,0,R,,82
5,CC,product.SpeciesProp.managed.FDC,0,R,,83
5,CC,product.Treated.managed.CC,0,R,,72
5,CC,product.Treated.managed.CWHvm_FDC_HW_H.CC,0,R,,72
5,CC,product.Yield.managed.CW,0,R,,80
5,CC,product.Yield.managed.FDC,0,R,,81
5,CC,product.Yield.managed.Total,0,R,,63
5,CT,product.HarvestedVolume.managed.CW.CT,0,R,,84
5,CT,product.HarvestedVolume.managed.FDC.CT,0,R,,85
5,CT,product.HarvestedVolume.managed.Total.CT,0,R,,86
5,CT,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CT,0,R,,87
5,CT,product.SpeciesProp.managed.CW,0,R,,88
5,CT,product.SpeciesProp.managed.FDC,0,R,,89
5,CT,product.Treated.managed.CT,0,R,,90
5,CT,product.Treated.managed.CWHvm_FDC_HW_H.CT,0,R,,90
5,CT,product.Yield.managed.CW,0,R,,84
5,CT,product.Yield.managed.FDC,0,R,,85
5,CT,product.Yield.managed.Total,0,R,,86
6,CC,product.HarvestedVolume.managed.CW.CC,0,R,,96
6,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,97
6,CC,product.HarvestedVolume.managed.Total.CC,0,R,,98
6,CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,0,R,,99
6,CC,product.SpeciesProp.managed.CW,0,R,,82
6,CC,product.SpeciesProp.managed.FDC,0,R,,83
6,CC,product.Treated.managed.CC,0,R,,72
6,CC,product.Treated.managed.CWHvm_FDC_HW_H.CC,0,R,,72
6,CC,product.Yield.managed.CW,0,R,,96
6,CC,product.Yield.managed.FDC,0,R,,97
6,CC,product.Yield.managed.Total,0,R,,98
6,F1,product.Treated.managed.F1,0,R,,100
7,CC,product.HarvestedVolume.managed.CW.CC,0,R,,105
7,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,106
7,CC,product.HarvestedVolume.managed.Total.CC,0,R,,107
7,CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,0,R,,108
7,CC,product.SpeciesProp.managed.CW,0,R,,82
7,CC,product.SpeciesProp.managed.FDC,0,R,,83
7,CC,product.Treated.managed.CC,0,R,,72
7,CC,product.Treated.managed.CWHvm_FDC_HW_H.CC,0,R,,72
7,CC,product.Yield.managed.CW,0,R,,105
7,CC,product.Yield.managed.FDC,0,R,,106
7,CC,product.Yield.managed.Total,0,R,,107
7,F2,product.Treated.managed.F2,0,R,,109
8,CC,product.HarvestedVolume.managed.CW.CC,0,R,,114
8,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,115
8,CC,product.HarvestedVolume.managed.Total.CC,0,R,,116
8,CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,0,R,,117
8,CC,product.SpeciesProp.managed.CW,0,R,,82
8,CC,product.SpeciesProp.managed.FDC,0,R,,83
8,CC,product.Treated.managed.CC,0,R,,72
8,CC,product.Treated.managed.CWHvm_FDC_HW_H.CC,0,R,,72
8,CC,product.Yield.managed.CW,0,R,,114
8,CC,product.Yield.managed.FDC,0,R,,115
8,CC,product.Yield.managed.Total,0,R,,116
8,F3,product.Treated.managed.F3,0,R,,118
9,CC,product.HarvestedVolume.managed.CW.CC,0,R,,123
9,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,124
9,CC,product.HarvestedVolume.managed.Total.CC,0,R,,125
9,CC,product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,0,R,,126
9,CC,product.SpeciesProp.managed.CW,0,R,,82
9,CC,product.SpeciesProp.managed.FDC,0,R,,83
9,CC,product.Treated.managed.CC,0,R,,72
9,CC,product.Treated.managed.CWHvm_FDC_HW_H.CC,0,R,,72
9,CC,product.Yield.managed.CW,0,R,,123
9,CC,product.Yield.managed.FDC,0,R,,124
9,CC,product.Yield.managed.Total,0,R,,125
11,CC,product.HarvestedVolume.managed.CW.CC,0,R,,144
11,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,145
11,CC,product.HarvestedVolume.managed.HW.CC,0,R,,146
11,CC,product.HarvestedVolume.managed.Total.CC,0,R,,147
11,CC,product.QMDNumerator.managed.CWHvm_HW_CW_M.CC,0,R,,148
11,CC,product.Seral.area.immature.CWHvm_HW_CW_M.CC,0,R,,149
11,CC,product.Seral.area.mature.CWHvm_HW_CW_M.CC,0,R,,150
11,CC,product.Seral.area.overmature.CWHvm_HW_CW_M.CC,0,R,,151
11,CC,product.Seral.area.regenerating.CWHvm_HW_CW_M.CC,0,R,,152
