AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover
21000,0,0.0,0.0,,,0.0,0.0
21000,10,0.0,3.0,,,0.0,4.7
21000,20,0.2,8.1,,,10.1,40.7
21000,30,58.0,13.4,,,78.9,80.9
21000,40,170.5,18.0,,,197.9,88.6
21000,50,292.1,22.0,,,328.4,88.8
21000,60,416.2,25.4,,,461.9,88.3
21000,70,540.5,28.4,,,596.2,87.9
21000,80,654.8,31.0,,,721.7,87.4
21000,90,760.8,33.3,,,840.3,87.0
21000,100,860.8,35.3,,,955.0,86.5
21000,110,941.8,37.1,,,1052.6,86.0
21000,120,1012.1,38.7,,,1139.8,85.6
21000,130,1082.9,40.2,,,1229.6,85.1
21000,140,1145.4,41.5,,,1310.8,84.7
21000,150,1202.1,42.6,,,1389.0,84.2
21000,160,1252.2,43.7,,,1460.0,83.8
21000,170,1293.7,44.7,,,1522.1,83.3
21000,180,1327.2,45.5,,,1575.7,82.9
21000,190,1357.7,46.4,,,1626.1,82.4
21000,200,1385.8,47.1,,,1673.8,81.9
21000,210,1414.4,47.8,,,1722.6,81.5
21000,220,1439.7,48.4,,,1767.7,81.0
21000,230,1462.1,49.0,,,1809.5,80.6
21000,240,1482.0,49.5,,,1848.3,80.1
21000,250,1498.0,50.0,,,1882.2,79.7
21000,260,1511.9,50.5,,,1913.6,79.2
21000,270,1523.8,51.0,,,1942.9,78.8
21000,280,1534.2,51.4,,,1970.2,78.3
21000,290,1543.0,51.8,,,1996.1,77.9
21000,300,1551.0,52.1,,,2020.7,77.4
21000,310,1559.9,52.5,,,2046.4,76.9
21000,320,1567.5,52.8,,,2070.6,76.5
21000,330,1574.1,53.1,,,2093.6,76.0
21000,340,1579.6,53.4,,,2115.3,75.6
21000,350,1584.2,53.7,,,2135.9,75.1
21001,0,0.0,0.0,,,0.0,0.0
21001,10,0.0,2.9,,,0.0,5.3
21001,20,0.4,8.7,,,11.9,48.5
21001,30,57.8,14.2,,,77.3,73.0
21001,40,149.4,18.9,,,174.9,76.2
21001,50,240.4,22.8,,,272.9,76.1
21001,60,334.5,26.1,,,374.1,75.7
21001,70,424.6,28.9,,,471.7,75.3
21001,80,505.1,31.3,,,560.6,74.9
21001,90,577.2,33.4,,,641.8,74.5
21001,100,641.8,35.3,,,716.5,74.1
21001,110,696.5,36.9,,,781.8,73.7
21001,120,748.1,38.3,,,845.0,73.4
21001,130,793.8,39.6,,,902.4,73.0
21001,140,834.2,40.7,,,955.4,72.6
21001,150,869.1,41.8,,,1003.5,72.2
21001,160,898.2,42.7,,,1045.4,71.8
21001,170,924.3,43.6,,,1084.3,71.4
21001,180,947.0,44.3,,,1119.8,71.0
21001,190,968.5,45.0,,,1154.8,70.6
21001,200,987.4,45.7,,,1186.9,70.2
21001,210,1003.9,46.3,,,1216.2,69.8
21001,220,1018.0,46.8,,,1242.7,69.5
21001,230,1029.9,47.4,,,1266.9,69.1
21001,240,1040.1,47.8,,,1290.5,68.7
21001,250,1048.9,48.3,,,1312.4,68.3
21001,260,1056.6,48.7,,,1332.8,67.9
21001,270,1063.6,49.1,,,1352.5,67.5
21001,280,1070.1,49.5,,,1371.4,67.1
21001,290,1075.7,49.8,,,1389.1,66.7
21001,300,1080.5,50.1,,,1405.8,66.3
21001,310,1084.4,50.4,,,1421.7,65.9
21001,320,1087.4,50.7,,,1436.9,65.6
21001,330,1089.8,51.0,,,1451.3,65.2
21001,340,1091.1,51.2,,,1464.7,64.8
21001,350,1091.8,51.5,,,1477.3,64.4
21003,0,0.0,0.0,,,0.0,0.0
21003,10,0.0,2.2,,,0.0,2.1
21003,20,0.0,5.3,,,1.1,13.6
21003,30,0.8,8.8,,,11.4,37.9
21003,40,22.3,11.9,,,38.5,60.2
21003,50,69.7,14.7,,,88.0,68.0
21003,60,119.5,17.2,,,141.7,69.9
21003,70,168.7,19.4,,,195.4,70.3
21003,80,215.8,21.3,,,247.3,70.1
21003,90,259.0,23.1,,,295.3,69.8
21003,100,303.4,24.6,,,344.9,69.4
21003,110,347.5,26.0,,,394.6,69.0
21003,120,386.2,27.2,,,438.9,68.7
21003,130,421.1,28.4,,,479.3,68.3
21003,140,452.5,29.4,,,516.4,67.9
21003,150,484.9,30.3,,,555.3,67.6
21003,160,513.4,31.1,,,590.2,67.2
