BLOCK,DELTA,AGE,TYPE,TREATMENT
1,43,100,MANAGED,CC
1,151,108,MANAGED,CC
1,252,101,MANAGED,CC
2,22,79,MANAGED,CC
2,62,40,MANAGED,CT
2,76,54,MANAGED,F1
2,86,64,MANAGED,F2
2,149,127,MANAGED,CC
2,228,79,MANAGED,CC
4,13,70,MANAGED,CC
4,83,70,MANAGED,CC
4,171,88,MANAGED,CC
4,243,72,MANAGED,CC
6,291,378,MANAGED,CC
7,65,122,MANAGED,CC
7,105,40,MANAGED,CT
7,182,117,MANAGED,CC
7,282,100,MANAGED,CC
9,14,71,MANAGED,CC
9,92,78,MANAGED,CC
9,169,77,MANAGED,CC
9,242,73,MANAGED,CC
11,28,85,MANAGED,CC
11,155,127,MANAGED,CC
11,249,94,MANAGED,CC
12,118,165,MANAGED,CC
12,158,40,MANAGED,CT
12,196,78,MANAGED,CC
12,236,40,MANAGED,CT
12,272,76,MANAGED,CC
13,98,145,MANAGED,CC
13,168,70,MANAGED,CC
13,242,74,MANAGED,CC
14,42,89,MANAGED,CC
14,82,40,MANAGED,CT
14,128,86,MANAGED,CC
14,168,40,MANAGED,CT
14,179,51,MANAGED,F1
14,231,103,MANAGED,CC
15,99,226,MANAGED,CC
15,181,82,MANAGED,CC
15,291,110,MANAGED,CC
16,11,138,MANAGED,CC
16,51,40,MANAGED,CT
16,131,120,MANAGED,CC
16,171,40,MANAGED,CT
16,197,66,MANAGED,F1
16,207,76,MANAGED,F2
17,108,175,MANAGED,CC
17,211,103,MANAGED,CC
20,106,153,MANAGED,CC
20,146,40,MANAGED,CT
20,209,103,MANAGED,CC
20,295,86,MANAGED,CC
21,3,70,MANAGED,CC
21,74,71,MANAGED,CC
21,172,98,MANAGED,CC
21,247,75,MANAGED,CC
22,90,147,MANAGED,CC
22,130,40,MANAGED,CT
22,177,87,MANAGED,CC
22,247,70,MANAGED,CC
23,36,163,MANAGED,CC
23,116,80,MANAGED,CC
23,214,98,MANAGED,CC
23,294,80,MANAGED,CC
25,160,217,MANAGED,CC
25,291,131,MANAGED,CC
26,24,71,MANAGED,CC
26,94,70,MANAGED,CC
26,171,77,MANAGED,CC
26,261,90,MANAGED,CC
27,93,300,MANAGED,CC
27,241,148,MANAGED,CC
28,99,156,MANAGED,CC
28,139,40,MANAGED,CT
28,200,101,MANAGED,CC
28,272,72,MANAGED,CC
29,142,199,MANAGED,CC
29,251,109,MANAGED,CC
32,10,287,MANAGED,CC
32,50,40,MANAGED,CT
32,174,164,MANAGED,CC
32,214,40,MANAGED,CT
32,283,109,MANAGED,CC
33,160,287,MANAGED,CC
33,291,131,MANAGED,CC
34,201,438,MANAGED,CC
35,109,166,MANAGED,CC
35,182,73,MANAGED,CC
35,252,70,MANAGED,CC
36,109,156,MANAGED,CC
36,193,84,MANAGED,CC
36,264,71,MANAGED,CC
37,75,202,MANAGED,CC
37,202,127,MANAGED,CC
40,80,317,MANAGED,CC
40,201,121,MANAGED,CC
41,60,117,MANAGED,CC
41,133,73,MANAGED,CC
41,208,75,MANAGED,CC
42,18,145,MANAGED,CC
42,113,95,MANAGED,CC
42,206,93,MANAGED,CC
42,291,85,MANAGED,CC
43,61,108,MANAGED,CC
43,202,141,MANAGED,CC
43,242,40,MANAGED,CT
43,258,56,MANAGED,F1
43,268,66,MANAGED,F2
43,278,76,MANAGED,F3
44,13,70,MANAGED,CC
44,96,83,MANAGED,CC
44,166,70,MANAGED,CC
44,243,77,MANAGED,CC
45,110,217,MANAGED,CC
45,231,121,MANAGED,CC
46,118,355,MANAGED,CC
46,226,108,MANAGED,CC
47,3,80,MANAGED,CC
47,83,80,MANAGED,CC
47,168,85,MANAGED,CC
47,252,84,MANAGED,CC
48,57,100,MANAGED,CC
48,164,107,MANAGED,CC
48,287,123,MANAGED,CC
49,91,138,MANAGED,CC
49,296,205,MANAGED,CC
50,10,247,MANAGED,CC
50,221,211,MANAGED,CC
51,108,211,MANAGED,CC
51,213,105,MANAGED,CC
53,14,191,MANAGED,CC
53,54,40,MANAGED,CT
53,80,66,MANAGED,F1
53,90,76,MANAGED,F2
53,100,86,MANAGED,F3
53,116,102,MANAGED,CC
53,156,40,MANAGED,CT
54,53,100,MANAGED,CC
54,172,119,MANAGED,CC
54,272,100,MANAGED,CC
57,55,102,MANAGED,CC
57,95,40,MANAGED,CT
57,201,146,MANAGED,CC
61,4,111,MANAGED,CC
61,82,78,MANAGED,CC
61,164,82,MANAGED,CC
61,242,78,MANAGED,CC
62,25,72,MANAGED,CC
62,122,97,MANAGED,CC
62,210,88,MANAGED,CC
62,282,72,MANAGED,CC
63,31,78,MANAGED,CC
63,131,100,MANAGED,CC
63,221,90,MANAGED,CC
66,21,78,MANAGED,CC
66,91,70,MANAGED,CC
66,181,90,MANAGED,CC
66,251,70,MANAGED,CC
67,100,147,MANAGED,CC
67,172,72,MANAGED,CC
68,79,136,MANAGED,CC
68,194,115,MANAGED,CC
68,274,80,MANAGED,CC
69,77,124,MANAGED,CC
69,166,89,MANAGED,CC
69,206,40,MANAGED,CT
69,236,70,MANAGED,CC
71,124,251,MANAGED,CC
71,207,83,MANAGED,CC
72,142,243,MANAGED,CC
72,182,40,MANAGED,CT
