TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.Area.og2.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.Area.og2.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.Area.og2.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Area.og2.total,31,false,false,false,1.0,false,false
feature.Area.managed,31,false,false,false,1.0,false,false
feature.Area.unmanaged,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.Height.managed.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_CW_PLC_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_CW_YC_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.Height.unmanaged.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.QMD.managed.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_CW_PLC_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_CW_YC_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_FDC_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_SS_M.young,31,false,false,false,1.0,false,false
feature.Seral.immature,31,false,false,false,1.0,false,false
feature.Seral.mature,31,false,false,false,1.0,false,false
feature.Seral.overmature,31,false,false,false,1.0,false,false
feature.Seral.regenerating,31,false,false,false,1.0,false,false
feature.Seral.young,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.BA,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.CW,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.DR,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.FDC,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.HW,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.PLC,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.PW,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.SS,31,false,false,false,1.0,false,false
feature.SpeciesProp.managed.YC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.BA,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.CW,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.DR,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.FDC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.HW,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.PLC,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.SS,31,false,false,false,1.0,false,false
feature.SpeciesProp.unmanaged.YC,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_CW_YC_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Yield.managed.BA,31,false,false,false,1.0,false,false
feature.Yield.managed.CW,31,false,false,false,1.0,false,false
feature.Yield.managed.DR,31,false,false,false,1.0,false,false
feature.Yield.managed.FDC,31,false,false,false,1.0,false,false
feature.Yield.managed.HW,31,false,false,false,1.0,false,false
feature.Yield.managed.PLC,31,false,false,false,1.0,false,false
feature.Yield.managed.SS,31,false,false,false,1.0,false,false
feature.Yield.managed.Total,31,true,true,false,1.0,true,false
feature.Yield.managed.YC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.BA,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.CW,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.DR,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.FDC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.HW,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.PLC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.SS,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.Total,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.YC,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.BA,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.CW,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.DR,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.FDC,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.HW,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.PLC,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.SS,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.Total,31,true,true,true,1.0,true,false
flow.even.product.Yield.managed.YC,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.BA,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.CW,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.DR,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.FDC,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.HW,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.PLC,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.SS,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.Total,31,true,true,true,1.0,true,false
flow.ndy.feature.Yield.managed.YC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.BA.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.BA.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.CW.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.CW.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.DR.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.DR.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.FDC.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.FDC.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.HW.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.HW.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.PLC.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.SS.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.SS.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.Total.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.Total.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.YC.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.YC.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.ctfert_au.Total.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.ctfert_au.Total.CT,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.ctfert_au.Total,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.BA.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.BA.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.CW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.CW.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.DR.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.DR.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.FDC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.FDC.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.HW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.HW.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.PLC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.PLC.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.SS.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.SS.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.YC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_CW_HW_M.YC.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_DR_HW_M.CW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_DR_HW_M.DR.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_DR_HW_M.FDC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_DR_HW_M.HW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_DR_HW_M.SS.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.BA.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.BA.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.CW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.CW.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.DR.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.DR.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.FDC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.FDC.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.HW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.HW.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.SS.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_H.SS.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.BA.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.BA.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.CW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.CW.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.DR.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.DR.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.FDC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.FDC.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.HW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.HW.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.SS.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_L.SS.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.BA.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.BA.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.CW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.CW.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.DR.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.DR.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.FDC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.FDC.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.HW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.HW.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.SS.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_FDC_HW_M.SS.CT,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_BA_M.BA.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_BA_M.CW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_BA_M.FDC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_BA_M.HW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_H.BA.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_H.CW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_H.DR.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_H.FDC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_H.HW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_H.PLC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_H.SS.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_H.YC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_L.BA.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_L.CW.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_L.DR.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_L.FDC.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.CWHvm_HW_CW_L.HW.CC,31,false,false,false,1.0,false,false
