TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,999,CC,false,2,A,0,0,,0,
4,70,999,CC,false,4,A,0,0,,0,
4,40,40,CT,false,5,R,0,0,,0,
5,70,999,CC,false,4,A,0,0,,0,
7,90,999,CC,false,7,A,0,0,,0,
9,70,999,CC,false,9,A,0,0,,0,
12,100,999,CC,false,13,A,0,0,,0,
13,100,999,CC,false,13,A,0,0,,0,
15,90,999,CC,false,15,A,0,0,,0,
15,40,40,CT,false,16,R,0,0,,0,
16,90,999,CC,false,15,A,0,0,,0,
16,56,56,F1,false,17,R,0,0,,0,
17,90,999,CC,false,15,A,0,0,,0,
17,66,66,F2,false,18,R,0,0,,0,
18,90,999,CC,false,15,A,0,0,,0,
18,76,76,F3,false,19,R,0,0,,0,
19,90,999,CC,false,15,A,0,0,,0,
22,80,999,CC,false,22,A,0,0,,0,
24,70,999,CC,false,24,A,0,0,,0,
24,40,40,CT,false,25,R,0,0,,0,
25,70,999,CC,false,24,A,0,0,,0,
25,51,51,F1,false,26,R,0,0,,0,
26,70,999,CC,false,24,A,0,0,,0,
26,61,61,F2,false,27,R,0,0,,0,
27,70,999,CC,false,24,A,0,0,,0,
27,71,71,F3,false,28,R,0,0,,0,
28,70,999,CC,false,24,A,0,0,,0,
30,70,999,CC,false,30,A,0,0,,0,
30,40,40,CT,false,31,R,0,0,,0,
31,70,999,CC,false,30,A,0,0,,0,
31,51,51,F1,false,32,R,0,0,,0,
32,70,999,CC,false,30,A,0,0,,0,
32,61,61,F2,false,33,R,0,0,,0,
33,70,999,CC,false,30,A,0,0,,0,
33,71,71,F3,false,34,R,0,0,,0,
34,70,999,CC,false,30,A,0,0,,0,
36,80,999,CC,false,37,A,0,0,,0,
37,80,999,CC,false,37,A,0,0,,0,
39,100,999,CC,false,40,A,0,0,,0,
40,100,999,CC,false,40,A,0,0,,0,
40,40,40,CT,false,41,R,0,0,,0,
41,100,999,CC,false,40,A,0,0,,0,
41,66,66,F1,false,42,R,0,0,,0,
42,100,999,CC,false,40,A,0,0,,0,
42,76,76,F2,false,43,R,0,0,,0,
43,100,999,CC,false,40,A,0,0,,0,
43,86,86,F3,false,44,R,0,0,,0,
44,100,999,CC,false,40,A,0,0,,0,
46,80,999,CC,false,47,A,0,0,,0,
47,80,999,CC,false,47,A,0,0,,0,
49,90,999,CC,false,50,A,0,0,,0,
50,90,999,CC,false,50,A,0,0,,0,
52,70,999,CC,false,52,A,0,0,,0,
52,40,40,CT,false,53,R,0,0,,0,
53,70,999,CC,false,52,A,0,0,,0,
55,70,999,CC,false,9,A,0,0,,0,
57,80,999,CC,false,58,A,0,0,,0,
58,80,999,CC,false,58,A,0,0,,0,
61,80,999,CC,false,61,A,0,0,,0,
63,70,999,CC,false,63,A,0,0,,0,
65,80,999,CC,false,66,A,0,0,,0,
66,80,999,CC,false,66,A,0,0,,0,
68,70,999,CC,false,68,A,0,0,,0,
68,40,40,CT,false,69,R,0,0,,0,
